"iso3","region","lon","lat","ols_residual","ols_deviation","gls_residual","gls_deviation","flipped"
"ARM","Europe",45.2487181093444,40.6030009061894,-0.98726860355489,"Smaller than predicted",-0.900705673722209,"Smaller than predicted",FALSE
"AUT","Europe",13.473365685519,47.5797318991493,-0.0129081210519451,"Smaller than predicted",0.113955590758716,"Larger than predicted",TRUE
"AZE","Europe",45.8044806290191,40.3428995053243,-0.673456625815093,"Smaller than predicted",-0.696757021747272,"Smaller than predicted",FALSE
"BEL","Europe",4.73210363007762,50.5906272841377,0.461174878247521,"Larger than predicted",0.577888034481305,"Larger than predicted",FALSE
"BGR","Europe",24.9640957070463,42.6248570447528,-0.578791720113296,"Smaller than predicted",-0.554735492522868,"Smaller than predicted",FALSE
"BIH","Europe",18.1347891402571,44.0676244187028,-0.243391713349432,"Smaller than predicted",-0.186659019900368,"Smaller than predicted",FALSE
"BLR","Europe",28.1175854228367,53.5324117832837,-0.260834046435005,"Smaller than predicted",-0.256070533741825,"Smaller than predicted",FALSE
"CHE","Europe",8.31295225582021,46.7415661327342,0.605461797287271,"Larger than predicted",0.741401234360369,"Larger than predicted",FALSE
"CYP","Europe",33.3699079241071,35.0787000625164,-0.0165509266619046,"Smaller than predicted",0.0677066611897548,"Larger than predicted",TRUE
"CZE","Europe",15.4237768093745,49.8840390205383,-0.0176567833722377,"Smaller than predicted",0.0450878662753382,"Larger than predicted",TRUE
"DEU","Europe",10.3599105532095,53.8334209291424,0.391870537079531,"Larger than predicted",0.523810923220736,"Larger than predicted",FALSE
"DNK","Europe",11.3128127705349,55.4634016147665,-0.0387364086815738,"Smaller than predicted",0.0672103204138832,"Larger than predicted",TRUE
"ESP","Europe",1.21559920878008,39.6372975771211,0.172661799174887,"Larger than predicted",0.281947202460241,"Larger than predicted",FALSE
"EST","Europe",23.5346293289514,58.5935805534657,0.0332747997957183,"Larger than predicted",0.0722455417349881,"Larger than predicted",FALSE
"FIN","Europe",21.8481641637298,61.3707229575694,0.42299374104685,"Larger than predicted",0.520093852967396,"Larger than predicted",FALSE
"FRA","Europe",3.46196587993415,44.93774446295,0.472605420345531,"Larger than predicted",0.605290363143046,"Larger than predicted",FALSE
"GBR","Europe",-4.57037745685808,57.1384689799521,0.394227347889559,"Larger than predicted",0.51492239165021,"Larger than predicted",FALSE
"GEO","Europe",43.8700507559427,42.0642349429247,-0.824243207708085,"Smaller than predicted",-0.77246586022523,"Smaller than predicted",FALSE
"GRC","Europe",24.6771728461642,37.7579125808062,0.215507982674559,"Larger than predicted",0.289802133470724,"Larger than predicted",FALSE
"HRV","Europe",15.9026488039015,43.949631843945,-0.28809078095116,"Smaller than predicted",-0.241845348554673,"Smaller than predicted",FALSE
"HUN","Europe",19.4239312822574,47.2322648663387,-0.361406730290923,"Smaller than predicted",-0.338893299628637,"Smaller than predicted",FALSE
"IRL","Europe",-9.21717440495726,53.718868024232,0.589159857865714,"Larger than predicted",0.636892806441663,"Larger than predicted",FALSE
"ISL","Europe",-19.8672900189364,65.3084188128676,-0.129465074845254,"Smaller than predicted",-0.0295659137423154,"Smaller than predicted",FALSE
"ISR","Europe",35.2103470211937,31.8765000479562,-0.118599377996437,"Smaller than predicted",-0.050063867577645,"Smaller than predicted",FALSE
"ITA","Europe",10.9994264271948,40.2606614499558,0.379419416323127,"Larger than predicted",0.471017214431869,"Larger than predicted",FALSE
"KAZ","Europe",54.807835971463,45.8463886822009,-0.369768678758513,"Smaller than predicted",-0.417002178645335,"Smaller than predicted",FALSE
"KGZ","Europe",71.7000166078018,40.2071915343622,-0.703471440933394,"Smaller than predicted",-0.721045475998054,"Smaller than predicted",FALSE
"LTU","Europe",22.6621123149477,55.245916353423,0.0074157232158227,"Larger than predicted",0.0342336398066241,"Larger than predicted",FALSE
"LUX","Europe",6.06234932982403,49.7626318724259,0.394375889333709,"Larger than predicted",0.436387833659467,"Larger than predicted",FALSE
"LVA","Europe",25.3694844927107,56.8674788066319,-0.399358691081191,"Smaller than predicted",-0.353392545329815,"Smaller than predicted",FALSE
"MDA","Europe",28.5453013861739,47.0632795295459,-0.829662349397507,"Smaller than predicted",-0.826752145671755,"Smaller than predicted",FALSE
"MKD","Europe",21.6497263496305,41.636208663752,-0.471088459214542,"Smaller than predicted",-0.440436399708174,"Smaller than predicted",FALSE
"MLT","Europe",14.3708497285843,35.9616270065308,-0.106345274569504,"Smaller than predicted",-0.0132534673602063,"Smaller than predicted",FALSE
"MNE","Europe",19.2575248013372,42.8171734602555,-0.576657575490688,"Smaller than predicted",-0.505916066962785,"Smaller than predicted",FALSE
"NLD","Europe",5.14132065172983,52.664828735704,-0.0257147824467619,"Smaller than predicted",0.0867893172123058,"Larger than predicted",TRUE
"NOR","Europe",16.789200923135,70.65026269797,0.337031084875656,"Larger than predicted",0.439877368879147,"Larger than predicted",FALSE
"POL","Europe",19.0865157193775,51.4099779370465,-0.144617420798419,"Smaller than predicted",-0.130692522090495,"Smaller than predicted",FALSE
"PRT","Europe",-7.88703512632719,39.9308394770468,0.465375114523058,"Larger than predicted",0.5793917658007,"Larger than predicted",FALSE
"ROU","Europe",24.5292120675971,45.8446484725841,-0.696602527561907,"Smaller than predicted",-0.695353958512554,"Smaller than predicted",FALSE
"RUS","Europe",100.525870235521,69.7238230642151,-0.132535480221569,"Smaller than predicted",-0.137508647719899,"Smaller than predicted",FALSE
"SRB","Europe",20.7511689761158,44.2524472068758,-0.833575561120511,"Smaller than predicted",-0.792211413140878,"Smaller than predicted",FALSE
"SVK","Europe",19.6205913280619,48.8381906706711,-0.383443667449158,"Smaller than predicted",-0.3561237947508,"Smaller than predicted",FALSE
"SVN","Europe",14.8436923532775,46.12320394227,0.0746486292892119,"Larger than predicted",0.160358343056485,"Larger than predicted",FALSE
"SWE","Europe",18.1685075301851,58.9003501920989,0.116460885149064,"Larger than predicted",0.238458319900039,"Larger than predicted",FALSE
"TJK","Europe",70.6540391190434,39.8991661207191,-0.835538725101543,"Smaller than predicted",-0.811740823784621,"Smaller than predicted",FALSE
"TKM","Europe",55.7616462034338,39.2292356305964,-0.690663933144771,"Smaller than predicted",-0.722418035967317,"Smaller than predicted",FALSE
"TUR","Europe",29.5500818236735,40.0245707649396,0.157263750348959,"Larger than predicted",0.144631112175885,"Larger than predicted",FALSE
"UKR","Europe",31.4982658720302,47.3791976317674,-0.0581600200848938,"Smaller than predicted",-0.041625521155078,"Smaller than predicted",FALSE
"UZB","Europe",69.7928339123711,40.5482722395192,-0.718039521184039,"Smaller than predicted",-0.713020173533994,"Smaller than predicted",FALSE
"BGD","South-East Asia",91.148772507588,22.4859679023009,0.605124613588767,"Larger than predicted",0.548155091388988,"Larger than predicted",FALSE
"BTN","South-East Asia",90.5843077087402,27.4026597976685,0.212349733650601,"Larger than predicted",0.2008547887392,"Larger than predicted",FALSE
"IND","South-East Asia",89.4575194762274,10.8427009212228,0.573262590168106,"Larger than predicted",0.501188802562284,"Larger than predicted",FALSE
"LKA","South-East Asia",80.1269441879217,9.00263045784226,0.248028070607685,"Larger than predicted",0.254806155848772,"Larger than predicted",FALSE
"MDV","South-East Asia",73.4582096654126,3.72717100025242,-1.4338769309298,"Smaller than predicted",-1.38434010806006,"Smaller than predicted",FALSE
"MMR","South-East Asia",96.7726147099679,14.4865384457947,-0.693187330118148,"Smaller than predicted",-0.731048437433312,"Smaller than predicted",FALSE
"NPL","South-East Asia",84.3221619483268,28.0968792887017,0.709033594348534,"Larger than predicted",0.682799122478903,"Larger than predicted",FALSE
"THA","South-East Asia",99.975125071359,9.59219421802824,-0.410830762206795,"Smaller than predicted",-0.414863881334643,"Smaller than predicted",FALSE
"TLS","South-East Asia",125.223434749352,-8.80744002319689,-0.314213607814396,"Smaller than predicted",-0.360108884036945,"Smaller than predicted",FALSE
"AUS","Western Pacific",140.863467276482,-24.5389488019316,1.03402878609477,"Larger than predicted",1.14809685524121,"Larger than predicted",FALSE
"BRN","Western Pacific",114.896935462952,4.5656396150589,-0.224363056112531,"Smaller than predicted",-0.262878836771559,"Smaller than predicted",FALSE
"CHN","Western Pacific",115.792014038439,25.3719118963031,-1.28541298364982,"Smaller than predicted",-1.27570745147999,"Smaller than predicted",FALSE
"FJI","Western Pacific",39.4383553631291,-17.8449626891474,-0.68837497253588,"Smaller than predicted",-0.71674591265737,"Smaller than predicted",FALSE
"FSM","Western Pacific",152.565611987229,7.30236058687182,-0.980795892351078,"Smaller than predicted",-0.946228751050202,"Smaller than predicted",FALSE
"IDN","Western Pacific",119.238694591472,-2.97410731201477,-1.16503794698476,"Smaller than predicted",-1.22692267774698,"Smaller than predicted",FALSE
"JPN","Western Pacific",132.62470363813,33.1610525849145,-0.693261702703933,"Smaller than predicted",-0.549586895783087,"Smaller than predicted",FALSE
"KHM","Western Pacific",103.845188104189,11.5798477927844,-0.707828063415392,"Smaller than predicted",-0.728478512481535,"Smaller than predicted",FALSE
"KIR","Western Pacific",-4.3946081205391,-1.34618153521699,-0.795782708478726,"Smaller than predicted",-0.780177145532419,"Smaller than predicted",FALSE
"KOR","Western Pacific",127.366555946659,35.3671021335631,-0.107794717144439,"Smaller than predicted",-0.0211787355807989,"Smaller than predicted",FALSE
"LAO","Western Pacific",103.795938345102,18.4368892791944,-0.881855739328178,"Smaller than predicted",-0.957694462692585,"Smaller than predicted",FALSE
"MNG","Western Pacific",102.917947292328,47.7782551672148,-0.447792424061512,"Smaller than predicted",-0.449752343710731,"Smaller than predicted",FALSE
"MYS","Western Pacific",107.625389284152,4.39236636146541,-0.648107441595468,"Smaller than predicted",-0.676407278231713,"Smaller than predicted",FALSE
"NZL","Western Pacific",64.277622643687,-38.8813859225371,0.95003279504519,"Larger than predicted",1.04550914838892,"Larger than predicted",FALSE
"PHL","Western Pacific",122.558921766077,11.6903949556652,-0.943935356333077,"Smaller than predicted",-0.983080722498389,"Smaller than predicted",FALSE
"PNG","Western Pacific",150.205917406503,-6.23297109073128,-0.241013008844024,"Smaller than predicted",-0.337126900028707,"Smaller than predicted",FALSE
"SGP","Western Pacific",103.866559346517,1.36641702387068,-1.08707217087775,"Smaller than predicted",-1.04600028182857,"Smaller than predicted",FALSE
"SLB","Western Pacific",159.40849315768,-8.97101004415328,-0.849689990619405,"Smaller than predicted",-0.912087725092775,"Smaller than predicted",FALSE
"TON","Western Pacific",-174.709537718031,-20.3761267370648,-0.701566794574444,"Smaller than predicted",-0.69180185916173,"Smaller than predicted",FALSE
"VNM","Western Pacific",106.587385501864,16.2228763185006,-1.23031612461955,"Smaller than predicted",-1.25106454473128,"Smaller than predicted",FALSE
"VUT","Western Pacific",168.129635815351,-16.4777712334988,-0.835958283446914,"Smaller than predicted",-0.89529939801491,"Smaller than predicted",FALSE
"WSM","Western Pacific",-172.08504989121,-13.7866715284494,-0.556177679673475,"Smaller than predicted",-0.557409268721234,"Smaller than predicted",FALSE
